,names,spec
712,Langbanite,Powder
713,Sulphur,Powder
714,Vesuvianite,Powder
715,Tarbuttite,Powder
716,Rasvumite,"Powder, using Mo radiation"
717,Gypsum,Powder
718,Lollingite,Powder
719,Cylindrite,Powder
720,Clinohumite,Powder
721,Paradamite,Powder
722,Fluorapatite,Powder
723,Brochantite,Powder
724,Phenakite,Powder
725,Ilvaite,Powder
726,Phosphophyllite,Powder
727,Sanbornite,Powder
728,Nitratine,"Powder, mixed with halite, a = 5.6417"
729,Spinel,Powder
730,Rutile,Powder
731,Eudialyte,Powder
732,Calcite,Powder
733,Pyrope,Powder
734,Duftite,"Powder, using Mo radiation"
735,Weddellite,Powder
736,Agardite-(Y),"Powder, using Mo radiation"
737,Clintonite,Powder
738,Strontianite,Powder
739,Cerussite,Powder
740,Tremolite,Powder
741,Kovdorskite,Powder
742,Ferrowyllieite,Powder
743,Scolecite,Powder
744,Anglesite,Powder
745,Barytocalcite,Powder
746,Eosphorite,Powder
747,Sylvite,Powder
748,Rhodochrosite,Powder
749,Grossular,Powder
750,Paravauxite,Powder
751,Trona,Powder
752,Tellurium,Powder
753,Grossular,Powder
754,Howieite,Powder
755,Sodalite,Powder
756,Margarite,Powder
757,Sugilite,Powder
758,Parisite-(Ce),Powder
759,Scheelite,Powder
760,Hubnerite,Powder
761,Anhydrite,Powder
762,Delhayelite,Powder
763,Whewellite,Powder
764,Arfvedsonite,Powder
765,Baddeleyite,Powder
766,Pyrope,Powder
767,Bixbyite-(Fe),Powder
768,Hubnerite,Powder
769,Cordierite,Powder
770,Forsterite,Powder
771,Pyrope,Powder
772,Alunogen,Powder
773,Stillwellite-(Ce),Powder
774,Kurnakovite,Powder
775,Carletonite,Powder
776,Leucite,Powder
777,Enstatite,Powder
778,Spessartine,Powder
779,Triplite,Powder
780,Pyromorphite,Powder
781,Chrysocolla,Powder
782,Manganvesuvianite,Powder
783,Trilithionite,Powder
784,Cyanotrichite,"Powder, using Mo radiation"
785,Orthoclase,Powder
786,Ferroceladonite,Powder
787,Waimirite-(Y),Powder
788,Carlosturanite,Powder
789,Datolite,Powder
790,Baryte,Powder
791,Bisbeeite,Powder
792,Borocookeite,"Powder, using Mo radiation"
793,Anilite,"Powder, using Mo radiation"
794,Magnesiocopiapite,Powder
795,Gadolinite-(Y),Powder
796,Cubic zirconia,Powder
797,Inderite,Powder
798,Cymrite,"Powder, using Mo radiation"
799,Nakauriite,"Powder, using Mo radiation"
800,Creedite,Powder
801,Manganilvaite,Powder
802,Prehnite,Powder
803,Montebrasite,Powder
804,Axinite-(Fe),Powder
805,Chlorapatite,Powder
806,Dolomite,Powder
807,Paravauxite,Powder
808,Edingtonite,Powder
809,Spangolite,Powder
810,Mellite,Powder
811,Manganoneptunite,Powder
812,Clinoptilolite-Ca,Powder
813,Duftite,Powder
814,Yugawaralite,Powder
815,Ferrierite-Mg,Powder
816,Baotite,Powder
817,Enstatite,Powder
818,Richterite,Powder
819,Heulandite-Ca,Powder
820,Tilleyite,Powder
821,Baddeleyite,Powder
822,Chamosite,Powder
823,Fluorapatite,Powder
824,Petalite,Powder
825,Cordierite,Powder
826,Dravite,Powder
827,Serandite,Powder
828,Mottramite,Powder
829,Kidwellite,Powder
830,Cuprite,Powder
831,Lepidocrocite,Powder
832,Triphylite,Powder
833,Fluorapatite,Powder
